GEOCOD;POP;X;Y
353060707000010;364;-46,102;-23,672
353060710000001;774;-46,223;-23,537
353060710000002;965;-46,220;-23,539
353060710000003;854;-46,222;-23,540
353060710000004;465;-46,225;-23,539
353060710000005;885;-46,228;-23,539
353060710000006;1125;-46,239;-23,534
353060710000007;1354;-46,228;-23,531
353060710000008;812;-46,224;-23,535
353060710000009;940;-46,222;-23,530
353060710000010;704;-46,217;-23,538
353060710000011;981;-46,214;-23,538
353060710000012;1043;-46,210;-23,539
353060710000013;1565;-46,210;-23,542
353060710000014;1445;-46,214;-23,543
353060710000015;622;-46,219;-23,544
353060710000016;33;-46,222;-23,545
353060710000017;662;-46,226;-23,542
353060710000018;1068;-46,231;-23,542
353060710000019;615;-46,234;-23,543
353060710000020;1234;-46,237;-23,544
353060710000021;1271;-46,240;-23,545
353060710000022;1177;-46,206;-23,542
353060710000023;1273;-46,204;-23,543
353060710000024;991;-46,205;-23,545
353060710000025;976;-46,202;-23,547
353060710000026;1177;-46,205;-23,549
353060710000027;1478;-46,208;-23,549
353060710000028;1458;-46,210;-23,546
353060710000029;923;-46,214;-23,545
353060710000030;1075;-46,215;-23,548
353060710000031;978;-46,217;-23,547
353060710000032;1124;-46,218;-23,549
353060710000033;1164;-46,220;-23,550
353060710000034;1302;-46,222;-23,549
353060710000035;1246;-46,224;-23,547
353060710000036;677;-46,227;-23,548
353060710000037;1033;-46,229;-23,546
353060710000038;1006;-46,231;-23,546
353060710000039;896;-46,235;-23,551
353060710000040;987;-46,202;-23,544
353060710000041;1371;-46,200;-23,550
353060710000042;51;-46,198;-23,550
353060710000043;1528;-46,199;-23,554
353060710000044;1197;-46,204;-23,552
353060710000045;1708;-46,206;-23,556
353060710000046;1237;-46,209;-23,551
353060710000047;648;-46,214;-23,551
353060710000048;1400;-46,215;-23,549
353060710000049;1493;-46,217;-23,553
353060710000050;1117;-46,220;-23,554
353060710000051;869;-46,222;-23,553
353060710000052;1282;-46,226;-23,557
353060710000053;1195;-46,198;-23,559
353060710000054;1554;-46,205;-23,559
353060710000055;1185;-46,211;-23,553
353060710000056;1081;-46,214;-23,555
353060710000057;1341;-46,216;-23,554
353060710000058;2063;-46,223;-23,558
353060710000059;1370;-46,227;-23,559
353060710000060;1356;-46,201;-23,556
353060710000061;1022;-46,199;-23,559
353060710000062;882;-46,208;-23,560
353060710000063;1402;-46,210;-23,560
353060710000064;1135;-46,213;-23,560
353060710000065;1078;-46,213;-23,558
353060710000066;1208;-46,216;-23,558
353060710000067;708;-46,226;-23,550
353060710000068;965;-46,229;-23,550
353060710000069;1496;-46,220;-23,560
353060710000070;1008;-46,221;-23,562
353060710000071;988;-46,220;-23,566
353060710000072;1056;-46,222;-23,566
353060710000073;718;-46,224;-23,569
353060710000074;1230;-46,223;-23,574
353060710000075;656;-46,203;-23,569
353060710000076;1165;-46,218;-23,571
353060710000077;729;-46,214;-23,565
353060710000078;669;-46,213;-23,576
353060710000079;792;-46,204;-23,547
353060710000080;740;-46,212;-23,550
353060710000081;685;-46,222;-23,554
353060710000082;1822;-46,229;-23,555
353060710000083;975;-46,214;-23,554
353060710000084;961;-46,227;-23,560
353060710000085;773;-46,202;-23,559
353060710000086;1080;-46,205;-23,562
353060710000087;523;-46,220;-23,573
353060710000088;1212;-46,225;-23,575
353060710000089;1900;-46,227;-23,574
353060710000090;1346;-46,217;-23,563
353060710000091;531;-46,214;-23,562
353060710000092;307;-46,201;-23,592
353060710000093;640;-46,220;-23,542
353060710000094;749;-46,225;-23,543
353060710000095;619;-46,234;-23,546
353060710000096;770;-46,226;-23,546
353060710000097;581;-46,224;-23,551
353060710000098;746;-46,221;-23,563
353060710000099;789;-46,222;-23,565
353060710000100;463;-46,225;-23,554
353060710000101;918;-46,222;-23,573
353060710000102;457;-46,218;-23,563
353060710000103;40;-46,235;-23,548
353060710000104;246;-46,199;-23,610
353060710000105;753;-46,220;-23,579
353060713000001;812;-46,154;-23,501
353060713000002;681;-46,163;-23,498
353060713000003;836;-46,149;-23,501
353060713000004;1034;-46,152;-23,503
353060713000005;1005;-46,159;-23,502
353060713000006;665;-46,163;-23,508
353060713000007;1147;-46,149;-23,506
353060713000008;607;-46,155;-23,510
353060713000009;745;-46,154;-23,509
353060713000010;601;-46,147;-23,507
353060713000011;1113;-46,148;-23,510
353060713000012;1052;-46,150;-23,516
353060713000013;1488;-46,155;-23,522
353060713000014;1100;-46,143;-23,511
353060713000015;884;-46,141;-23,515
353060713000016;1263;-46,137;-23,512
353060713000017;1355;-46,133;-23,521
353060713000018;1497;-46,140;-23,534
353060713000019;1029;-46,150;-23,499
353060713000020;1045;-46,144;-23,507
353060713000021;1007;-46,140;-23,508
353060713000022;828;-46,133;-23,511
353060713000023;1022;-46,143;-23,506
353060713000024;1067;-46,142;-23,507
353060713000025;1069;-46,145;-23,508
353060713000026;1089;-46,146;-23,507
